,fan_in,fan_out,loc,cyclomatic_complexity,num_parameters,cluster,pca1,pca2
MergedRecordReader.createKey,3,2,3,1,0,0,-0.8975324997966595,-0.11603871840752632
MergedRecordReader.createValue,4,2,3,1,0,0,-0.8980254368774216,-0.10874198031071163
MergedRecordReader.assignTaggedWritable,2,7,21,5,3,2,1.1477741955620824,-1.0632515398252167
MergeQueue.add,197,0,3,1,1,0,-0.8365496737108157,0.9685775853755098
MergeQueue.lessThan,0,6,13,3,2,2,0.2575704444450879,-0.741802521305699
MergeQueue.close,348,64,17,5,0,3,0.7487994175816957,3.1618187319576214
MergeRecordStream.next,212,47,4,1,0,3,-0.6319866974258819,2.0214557872414685
MustangFile.setReadable,0,1,4,1,2,0,-0.5262038732014014,-0.7614365001806974
MustangFile.setReadable,0,1,4,1,1,0,-0.6976710204029287,-0.4578228530340343
MustangFile.setWritable,0,1,4,1,2,0,-0.5262038732014014,-0.7614365001806974
MustangFile.setWritable,0,1,4,1,1,0,-0.6976710204029287,-0.4578228530340343
MustangFile.setExecutable,1,1,4,1,2,0,-0.5266968102821634,-0.7541397620838827
MustangFile.setExecutable,1,1,4,1,1,0,-0.6981639574836908,-0.45052611493721956
MustangFile.chmod,6,2,10,1,3,2,-0.1442103767175314,-1.0232710183996403
MuxOutputFormat.getRecordWriter,2,22,20,3,4,2,0.9587545769861093,-1.1340199934291393
MuxOutputFormat.checkOutputSpecs,1,3,3,1,2,0,-0.5461850675081643,-0.7241908689683055
MuxRecordWriter.parseOutputChannel,1,4,17,5,2,2,0.817147055574236,-0.7974938775010018
MuxRecordWriter.splitFirstTab,1,1,11,2,3,2,0.10394629811740114,-1.0886371027665482
MuxRecordWriter.writeKeyTabVal,2,4,6,1,3,2,-0.26475523964198333,-1.0146741178816496
MuxRecordWriter.write,361,66,16,2,2,3,0.40950786726522737,2.7172042881187655
MuxRecordWriter.close,348,64,21,5,1,3,1.0576377034785556,2.8477584717580617
PathFinder.prependPathComponent,1,0,3,1,1,0,-0.7399340058814401,-0.4615830816001721
PathFinder.getAbsolutePath,20,7,35,10,1,2,2.370648361544999,-0.4242567089415325
PathFinder.printEnvVariables,0,7,11,2,0,0,-0.365398624062922,-0.10308117986631397
PathFinder.printSystemProperties,0,6,10,2,0,0,-0.40716867246067134,-0.1141381465292665
PathFinder.main,3,187,13,3,1,1,1.4289592200301007,2.0577215467693692
PipeCombiner.getPipeCommand,2,3,13,3,1,0,0.06283563191028778,-0.4646012577439363
PipeMapRed.getPipeCommand,2,3,3,1,1,0,-0.7181451517904538,-0.41328048372482773
PipeMapRed.getKeyColPropName,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
PipeMapRed.getUseSideEffect,1,1,3,1,0,0,-0.9039738893590514,-0.14430081452733226
PipeMapRed.getDoPipe,1,2,30,1,0,0,0.030708560558360194,-0.20114683270820535
PipeMapRed.getKeyColsFromPipeCommand,1,8,30,5,1,0,1.1218451640282043,-0.47315724307154505
PipeMapRed.splitArgs,1,4,45,14,1,4,3.576266095570882,-0.6804256079655181
PipeMapRed.getURIOutputStream,1,8,20,3,2,2,0.5123315275289902,-0.7254501161990996
PipeMapRed.getSideEffectFileName,1,6,9,2,0,0,-0.4420043942152666,-0.10422975516922776
PipeMapRed.configure,3,56,120,14,1,4,6.537206785590485,-0.15093789035251065
PipeMapRed.setStreamJobDetails,1,5,15,2,1,0,-0.07190780269465638,-0.4371819418214119
PipeMapRed.isDebugFail,3,3,14,4,1,0,0.31546194798456373,-0.4725182936037796
PipeMapRed.setStreamProperties,1,2,6,2,0,0,-0.5747418031324307,-0.1510692750842619
PipeMapRed.logStackTrace,3,1,7,3,1,0,-0.15856854066130566,-0.46897183992013036
PipeMapRed.logprintln,15,2,7,2,1,0,-0.3758329903877399,-0.35514024213874335
PipeMapRed.logflush,2,1,5,2,0,0,-0.6170047886109422,-0.15482950365039974
PipeMapRed.addJobConfToEnvironment,1,8,17,4,2,2,0.6280796419886957,-0.7302172771028614
PipeMapRed.safeEnvVarName,1,4,15,8,1,0,1.2333237444686571,-0.5264632859081925
PipeMapRed.addEnvironment,1,3,13,4,2,2,0.4535721846737823,-0.7881137636808482
PipeMapRed.envPut,2,2,6,2,3,2,-0.06083329860861061,-1.0546134784274368
PipeMapRed.appendLogToJobLog,4,1,9,3,1,0,-0.09037590839440145,-0.46689840834976376
PipeMapRed.startOutputThreads,2,1,6,1,2,0,-0.45850417801525917,-0.7520663305135161
PipeMapRed.waitOutputThreads,1,2,13,4,0,0,0.10321062654681129,-0.19455508931369828
PipeMapRed.splitKeyVal,3,6,16,4,3,2,0.7493636029070334,-1.0439630346450244
PipeMapRed.mapRedFinished,4,6,32,11,0,0,2.315389058371454,-0.2558266521738429
PipeMapRed.maybeLogRecord,2,4,10,2,0,0,-0.4230090740700279,-0.1268819101879903
PipeMapRed.getContext,3,6,18,2,0,0,-0.13390520631229236,-0.11314115834461484
PipeMapRed.envline,3,2,3,1,1,0,-0.726065352595132,-0.41965236555418955
PipeMapRed.numRecInfo,2,2,7,1,0,0,-0.7596684240205647,-0.13378206955723723
PipeMapRed.safeDiv,2,0,3,1,2,0,-0.5689597957606749,-0.7578999906500206
PipeMapRed.logFailure,1,3,8,1,1,0,-0.5459382913405257,-0.4336354881377627
PipeMapRed.write,361,66,18,3,1,3,0.5255027578925712,3.002992508045546
MROutputThread.run,16,267,30,5,0,1,2.8666452651095327,3.480080036407074
MRErrorThread.run,16,267,20,5,0,1,2.5232174183712006,3.5061965690393144
PipeMapper.getPipeCommand,2,3,13,3,1,0,0.06283563191028778,-0.4646012577439363
PipeMapper.getKeyColPropName,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
PipeMapper.getUseSideEffect,1,1,3,1,0,0,-0.9039738893590514,-0.14430081452733226
PipeMapper.getDoPipe,1,2,3,1,0,0,-0.8965466256351352,-0.13063219460115574
PipeMapper.map,1,62,39,9,4,2,3.221509782713578,-0.7198060706407517
PipeMapper.close,348,64,4,1,0,3,-0.5727626571029553,3.2461787071532697
PipeReducer.getPipeCommand,2,3,12,3,1,0,0.028492847236454618,-0.4619896044807122
PipeReducer.getDoPipe,1,2,5,2,0,0,-0.609084587806264,-0.14845762182103786
