,fan_in,fan_out,loc,cyclomatic_complexity,num_parameters,cluster,pca1,pca2
FSDir.addBlock,6,6,21,7,2,2,1.4044609732760003,-0.7693238016043392
FSDir.getBlockInfo,4,5,14,5,1,0,0.5486000068328389,-0.4504864363480457
FSDir.getVolumeMap,3,5,14,5,2,2,0.7205600911151283,-0.7613968215915236
FSDir.getBlockMap,3,5,14,5,1,0,0.549092943913601,-0.4577831744448604
FSDir.checkDirTree,2,2,9,3,0,0,-0.2534299177104885,-0.16420961747055343
FSDir.clearPath,4,2,9,5,1,0,0.3546042922919245,-0.47843402981045524
FSDir.toString,437,49,6,1,0,3,-0.6593574438018601,3.6853357923506818
FSVolume.getCapacity,20,2,3,1,0,0,-0.9059124301696155,0.008005829238323617
FSVolume.getAvailable,4,3,4,1,0,0,-0.8562553884796723,-0.0976850136477591
FSVolume.getMount,2,2,3,1,0,0,-0.8970395627158974,-0.12333545650434106
FSVolume.createTmpFile,1,5,20,4,1,0,0.5373590576369194,-0.4754444495244001
FSVolume.addBlock,6,6,3,1,2,0,-0.5263679617402264,-0.6467013187057022
FSVolume.checkDirs,2,3,4,1,0,0,-0.855269514318148,-0.11227848984138854
FSVolume.getBlockInfo,4,5,3,1,1,0,-0.7042764985041456,-0.3713497676788451
FSVolume.getVolumeMap,3,5,3,1,1,0,-0.7037835614233835,-0.3786465057756598
FSVolume.getBlockMap,3,5,3,1,1,0,-0.7037835614233835,-0.3786465057756598
FSVolume.clearPath,4,2,3,1,1,0,-0.7265582896758942,-0.41235562745737486
FSVolume.toString,437,49,3,1,0,3,-0.7623857978233596,3.693170752140354
FSVolumeSet.getNextVolume,1,1,11,4,1,0,0.19856494067675623,-0.50661404986009
FSVolumeSet.getCapacity,20,2,7,2,0,0,-0.5497648229930779,-0.015042904508006591
FSVolumeSet.getRemaining,13,2,7,2,0,0,-0.546314263427743,-0.06612007118570949
FSVolumeSet.getBlockInfo,4,5,5,2,1,0,-0.4168144606752744,-0.3891751948987272
FSVolumeSet.getVolumeMap,3,5,5,2,1,0,-0.41632152359451224,-0.3964719329955419
FSVolumeSet.getBlockMap,3,5,5,2,1,0,-0.41632152359451224,-0.3964719329955419
FSVolumeSet.checkDirs,2,3,5,2,0,0,-0.6021502611631099,-0.1274922637980466
FSVolumeSet.toString,437,49,8,3,0,3,-0.15311893749178382,3.6549082444373657
FSDirectory.loadFSImage,1,23,9,1,1,0,-0.36305023218836935,-0.16287474287745507
FSDirectory.close,348,64,3,1,0,3,-0.6071054417767884,3.2487903604164936
FSDirectory.waitForReady,5,1,12,4,0,0,0.05946882982601346,-0.17642510358939192
FSDirectory.addFile,1,10,21,3,3,2,0.7329959868521833,-1.0043381767566337
FSDirectory.unprotectedAddFile,4,4,17,4,2,2,0.5968917758507447,-0.7630015425171236
FSDirectory.unprotectedAddFile,4,4,4,1,3,2,-0.33442668315117385,-0.9948573351615722
FSDirectory.renameTo,9,9,9,2,2,0,-0.08073180528656024,-0.6120772849095067
FSDirectory.unprotectedRenameTo,2,8,39,7,2,2,2.0394573731758783,-0.818183272877278
FSDirectory.setReplication,11,24,7,2,3,2,0.13247285426451916,-0.6908448504434438
FSDirectory.unprotectedSetReplication,2,4,18,4,3,2,0.8036875818876296,-1.0838203191206404
FSDirectory.getBlockSize,9,9,13,3,1,0,0.10394865468844995,-0.33151237150917384
FSDirectory.delete,166,24,9,2,1,0,-0.21818111830899792,1.0421535423297135
FSDirectory.unprotectedDelete,2,12,30,4,1,0,0.932284813361902,-0.39858390457659
FSDirectory.obtainLock,3,9,13,4,3,2,0.6686170400572825,-0.9951222150768224
FSDirectory.releaseLock,3,8,12,4,2,2,0.4553798444580057,-0.7025655345931117
FSDirectory.getListing,5,9,20,3,1,0,0.3463198957283305,-0.37898089673900104
FSDirectory.getFile,14,22,11,2,1,0,-0.08942364013332173,-0.0995111947649226
FSDirectory.isValidToCreate,1,4,12,4,1,0,0.25518951652233784,-0.4682198433447843
FSDirectory.isDir,13,3,6,2,1,0,-0.40176263717613264,-0.3534534451429721
FSDirectory.mkdirs,81,20,42,6,1,2,1.8024272468214317,0.23066328393562754
FSDirectory.unprotectedMkdir,2,2,5,1,1,0,-0.6568868461667036,-0.4321724101774524
FSDirectory.normalizePath,4,4,7,3,1,0,-0.13677968657031925,-0.4206692420447859
FSDirectory.isValidBlock,7,3,9,2,1,0,-0.2957766606700604,-0.4050688335135325
FSDirectory.getFileByBlock,4,1,5,1,1,0,-0.665299984052144,-0.4312475539099995
INode.isDir,13,3,3,1,0,0,-0.8950346068803645,-0.029402717513202708
INode.getReplication,14,3,3,1,0,0,-0.8955275439611267,-0.022105979416388016
INode.getLocalName,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
INode.getBlocks,12,2,3,1,0,0,-0.9019689335235186,-0.050368075536193976
INode.getParent,41,2,3,1,0,0,-0.91626410886562,0.16123732927143242
INode.getChildren,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
INode.getNode,12,10,20,9,1,0,1.6629554107741416,-0.3898478342957255
INode.getNode,12,10,16,4,2,2,0.6031690768743115,-0.6200042649223224
INode.getChild,2,1,3,1,1,0,-0.7329996792382861,-0.4406177235771809
INode.addNode,4,7,26,5,2,2,1.1470350975681967,-0.7581026828010443
INode.removeNode,2,1,8,2,0,0,-0.5139764345894428,-0.16266446344007188
INode.collectSubtreeBlocks,2,7,12,4,1,0,0.2769783706133242,-0.41991724546943987
INode.numItemsInTree,2,5,8,2,0,0,-0.48426737969377803,-0.1079899837353656
INode.computeName,3,1,7,2,0,0,-0.548812156344038,-0.15275607208003308
INode.computeFileLength,1,1,9,3,0,0,-0.2603642443536425,-0.18517497549354459
INode.computeContentsLength,1,6,8,2,0,0,-0.4763471788890998,-0.10161810190600372
INode.getBlockSize,9,9,7,3,0,0,-0.2735752005560765,-0.012228804783166222
INode.listContents,1,5,10,4,1,0,0.19393121089858772,-0.4493279168921596
FSEditLog.getEditFiles,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FSEditLog.create,67,14,10,2,0,0,-0.380777347080404,0.4840922653667312
FSEditLog.close,348,64,7,2,0,3,-0.2509578346002508,3.225741626670164
FSEditLog.delete,166,24,6,2,1,0,-0.32120947233049746,1.0499885021193855
FSEditLog.deleteAll,1,2,8,3,0,0,-0.28727976530355953,-0.16889470230414408
FSEditLog.exists,105,7,8,3,0,0,-0.30140890308323914,0.6583091593954681
FSEditLog.loadFSEdits,1,29,164,19,1,4,8.942621407260956,-0.7125074516019363
FSEditLog.adjustReplication,3,1,11,3,2,0,0.1502697452355544,-0.7830321001196897
FSEditLog.logEdit,7,3,20,5,3,2,1.081257670588774,-1.0788306757826256
FSEditLog.logCreateFile,1,5,8,1,1,0,-0.5310837638926934,-0.4062982482854095
FSEditLog.logMkDir,1,2,3,1,1,0,-0.7250794784336078,-0.434245841747819
FSEditLog.logRename,1,1,3,1,2,0,-0.5610395949559966,-0.7515281088206587
FSEditLog.logSetReplication,1,2,5,1,2,0,-0.484926761884414,-0.7430827954209303
FSEditLog.logDelete,1,1,3,1,1,0,-0.732506742157524,-0.4479144616739955
FSEditLog.logAddDatanode,2,1,3,1,1,0,-0.7329996792382861,-0.4406177235771809
FSEditLog.logRemoveDatanode,2,1,3,1,1,0,-0.7329996792382861,-0.4406177235771809
FSEditLog.toLogReplication,2,1,3,1,1,0,-0.7329996792382861,-0.4406177235771809
FSEditLog.fromLogReplication,1,2,3,1,1,0,-0.7250794784336078,-0.434245841747819
FSImage.getEditLog,12,1,3,1,0,0,-0.9093961972474347,-0.06403669546237055
FSImage.loadFSImage,1,23,116,25,1,4,8.562262971460697,-0.744772538684845
FSImage.saveFSImage,1,11,49,4,0,0,1.4063962483200503,-0.16555702745417503
FSImage.newNamespaceID,1,3,8,2,0,0,-0.4986289700608483,-0.14262396168453348
FSImage.format,18,6,10,6,1,0,0.6305314812119578,-0.3368189907070011
FSImage.saveImage,2,14,20,5,3,2,1.1654222569556625,-0.9649595470787566
FSImage.saveDatanodes,1,7,7,2,1,0,-0.3317955526374894,-0.3889514758632663
FSImage.loadDatanodes,1,4,11,3,2,0,0.17353741056882716,-0.7566197165347894
FSNamesystem.getFSNamesystem,5,0,3,1,0,0,-0.9133729014060161,-0.12878248206625012
FSNamesystem.close,348,64,22,4,0,3,0.7017368724696565,3.161362586334935
FSNamesystem.open,33,11,25,5,1,0,0.9566390452463993,-0.18559749787882443
FSNamesystem.setReplication,11,24,31,7,2,2,1.8791148816410124,-0.5129214850813278
FSNamesystem.getBlockSize,9,9,3,1,1,0,-0.6770321290122916,-0.2801915974900653
FSNamesystem.verifyReplication,2,0,13,3,3,2,0.3834881351415941,-1.1128344118157925
FSNamesystem.startFile,1,22,116,14,6,4,7.005630290451164,-2.137886066716564
FSNamesystem.getAdditionalBlock,1,12,38,7,2,2,2.035316580478472,-0.7681938780061622
FSNamesystem.abandonBlock,3,10,24,4,2,2,0.8823477879918359,-0.7065681338994473
FSNamesystem.abandonFileInProgress,4,7,21,3,2,2,0.5377682372366209,-0.7198401750980561
FSNamesystem.completeFile,1,23,91,14,2,4,5.468619348523141,-0.8444715266231329
FSNamesystem.allocateBlock,2,7,13,2,1,0,-0.12623178167525248,-0.397324657345796
FSNamesystem.checkFileProgress,2,6,12,4,1,0,0.26955110688940803,-0.43358586539561644
FSNamesystem.renameTo,9,9,9,3,2,0,0.1380446631946447,-0.6246794056029408
FSNamesystem.delete,166,24,28,7,1,0,1.5282141328998569,0.9295215268612864
FSNamesystem.exists,105,7,7,3,1,0,-0.16428454055554487,0.3573071655120289
FSNamesystem.isDir,13,3,3,1,1,0,-0.7235674596788371,-0.33301636465986595
FSNamesystem.isValidName,3,5,20,7,1,0,1.19270258891901,-0.4986573354110727
FSNamesystem.mkdirs,81,20,14,4,1,0,0.40327633899169324,0.32899381669276906
FSNamesystem.getDatanodeHints,1,10,56,14,3,4,4.341534603729598,-1.2343693685972497
FSNamesystem.obtainLock,3,9,21,4,3,2,0.9433593174479478,-1.0160154411826148
FSNamesystem.releaseLock,3,8,16,4,2,2,0.5927509831533383,-0.713012147646008
FSNamesystem.internalReleaseLock,2,1,3,1,2,0,-0.5615325320367588,-0.744231370723844
FSNamesystem.internalReleaseCreate,2,8,17,3,2,2,0.4088102364267287,-0.7103184183126127
FSNamesystem.renewLease,2,6,12,3,1,0,0.05077463840820312,-0.4209837447021824
FSNamesystem.getListing,5,9,3,1,1,0,-0.6750603806892431,-0.3093785498773241
FSNamesystem.registerDatanode,1,15,60,6,1,2,2.4228960187918176,-0.4684286221784646
FSNamesystem.getRegistrationID,3,1,3,1,0,0,-0.9049597635205756,-0.12970733833370288
FSNamesystem.newStorageID,1,3,9,3,0,0,-0.2455097169058102,-0.1578377356411915
FSNamesystem.isDatanodeDead,3,2,4,1,1,0,-0.6917225679212988,-0.4222640188174136
FSNamesystem.gotHeartbeat,1,5,23,4,4,2,1.154788853263001,-1.394120350754062
FSNamesystem.updateStats,3,3,11,2,2,0,-0.05365219579781818,-0.7430927395739025
FSNamesystem.removeDatanode,4,9,9,2,1,0,-0.24973426708427704,-0.34494732824691715
FSNamesystem.removeDatanode,4,9,13,4,1,0,0.32518980857346547,-0.3805981826866814
FSNamesystem.unprotectedRemoveDatanode,2,3,8,1,1,0,-0.5464312284212879,-0.426338750040948
FSNamesystem.unprotectedAddDatanode,3,4,6,1,1,0,-0.6081824711258002,-0.40015008549150854
FSNamesystem.wipeDatanode,2,4,7,1,1,0,-0.5733467493712049,-0.41005847685154734
FSNamesystem.getEditLog,12,1,3,1,0,0,-0.9093961972474347,-0.06403669546237055
FSNamesystem.heartbeatCheck,1,7,22,4,0,0,0.4494320072308905,-0.14971686905183187
FSNamesystem.processReport,1,17,68,14,2,4,4.634171718681482,-0.8664152211260391
FSNamesystem.addStoredBlock,3,15,47,5,2,2,1.9281446225907846,-0.7108951800161516
FSNamesystem.proccessOverReplicatedBlock,2,8,14,5,2,2,0.743334819367639,-0.7276876999098085
FSNamesystem.chooseExcessReplicates,1,13,45,6,3,2,2.2358340156395426,-1.0638183573757833
FSNamesystem.removeStoredBlock,3,12,43,8,2,2,2.424821098167318,-0.7792607888220872
FSNamesystem.blockReceived,3,9,22,2,2,2,0.36868201795784356,-0.6898092059123077
FSNamesystem.totalCapacity,2,0,3,1,0,0,-0.9118940901637297,-0.1506726963566942
FSNamesystem.totalRemaining,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
FSNamesystem.datanodeReport,3,6,12,2,0,0,-0.3399619143552914,-0.09747123876527046
FSNamesystem.DFSNodesStatus,1,7,13,3,2,2,0.264504771088242,-0.7208371632827077
FSNamesystem.getDataNodeInfo,0,1,3,1,1,0,-0.7320138050767618,-0.4552111997708102
FSNamesystem.getDFSNameNodeMachine,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FSNamesystem.getDFSNameNodePort,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FSNamesystem.getStartTime,5,0,3,1,0,0,-0.9133729014060161,-0.12878248206625012
FSNamesystem.blocksToInvalidate,1,13,23,5,1,0,0.9185819899309531,-0.3865325705980937
FSNamesystem.pendingTransfers,1,22,111,17,2,4,6.804377183719503,-0.9481795738940925
FSNamesystem.chooseTargets,3,16,84,29,4,4,8.799824457198502,-1.7035359217650077
FSNamesystem.getDatanode,5,6,13,3,1,0,0.08363861183974994,-0.4017051836749624
FSNamesystem.getDatanodeByName,1,6,8,3,1,0,-0.0861035632063674,-0.4178338697461009
FSNamesystem.getDatanodeByIndex,1,4,10,3,1,0,-0.03227252130653342,-0.4503944161249022
FSNamesystem.randomDataNode,0,5,12,3,0,0,-0.12713389835571623,-0.14563219367532512
FSNamesystem.getNameNodeInfoPort,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FSNamesystem.now,5,1,3,1,0,0,-0.9059456376820999,-0.1151138621400735
FSNamesystem.isInSafeMode,18,2,5,2,0,0,-0.61746451817922,-0.02441307417518788
FSNamesystem.incrementSafeBlockCount,2,2,5,2,1,0,-0.43811037768549865,-0.4447745308708864
FSNamesystem.decrementSafeBlockCount,2,2,5,2,1,0,-0.43811037768549865,-0.4447745308708864
FSNamesystem.setBlockTotal,1,3,5,2,0,0,-0.6016573240823477,-0.1347890018948613
FSNamesystem.enterSafeMode,1,2,8,2,0,0,-0.5060562337847645,-0.15629258161071005
FSNamesystem.leaveSafeMode,1,3,8,2,0,0,-0.4986289700608483,-0.14262396168453348
FSNamesystem.getSafeModeTip,1,2,5,2,0,0,-0.609084587806264,-0.14845762182103786
Lease.renew,3,1,3,1,0,0,-0.9049597635205756,-0.12970733833370288
Lease.expiredHardLimit,1,1,6,2,0,0,-0.582169066856347,-0.16473789501043837
Lease.expiredSoftLimit,1,1,6,2,0,0,-0.582169066856347,-0.16473789501043837
Lease.obtained,1,1,3,1,1,0,-0.732506742157524,-0.4479144616739955
Lease.released,1,1,3,1,1,0,-0.732506742157524,-0.4479144616739955
Lease.startedCreate,1,1,3,1,1,0,-0.732506742157524,-0.4479144616739955
Lease.completedCreate,2,1,3,1,1,0,-0.7329996792382861,-0.4406177235771809
Lease.hasLocks,2,1,3,1,0,0,-0.9044668264398136,-0.13700407643051762
Lease.releaseLocks,2,6,8,3,0,0,-0.25806364748865696,-0.106923484502623
Lease.toString,437,49,4,1,0,3,-0.7280430131495264,3.69055909887713
Lease.compareTo,30,4,13,3,1,0,0.0564606573728646,-0.24662397110694798
LeaseMonitor.run,16,267,26,7,0,1,3.16682706337661,3.4653224080731015
HeartbeatMonitor.run,16,267,9,3,0,1,1.7078938499966263,3.5601289963216467
FileUnderConstruction.getReplication,14,3,3,1,0,0,-0.8955275439611267,-0.022105979416388016
FileUnderConstruction.getBlockSize,9,9,3,1,0,0,-0.848499276213819,0.02342204965659796
FileUnderConstruction.getBlocks,12,2,3,1,0,0,-0.9019689335235186,-0.050368075536193976
FileUnderConstruction.getClientName,3,0,3,1,0,0,-0.9123870272444918,-0.1433759582598795
FileUnderConstruction.getClientMachine,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
SafeModeInfo.isOn,2,3,8,2,0,0,-0.49912190714161037,-0.1353272235877188
SafeModeInfo.enter,1,2,7,2,0,0,-0.5403990184585976,-0.15368092834748595
SafeModeInfo.leave,3,1,7,2,0,0,-0.548812156344038,-0.15275607208003308
SafeModeInfo.canLeave,1,2,7,3,0,0,-0.32162254997739265,-0.16628304904091998
SafeModeInfo.needEnter,2,1,3,1,0,0,-0.9044668264398136,-0.13700407643051762
SafeModeInfo.getSafeBlockRatio,2,0,3,1,0,0,-0.9118940901637297,-0.1506726963566942
SafeModeInfo.checkMode,3,6,18,6,0,0,0.7412006676125275,-0.16354964111835082
SafeModeInfo.setBlockTotal,1,3,4,1,1,0,-0.6833094300358584,-0.42318887508486647
SafeModeInfo.incrementSafeBlockCount,2,2,5,2,1,0,-0.43811037768549865,-0.4447745308708864
SafeModeInfo.decrementSafeBlockCount,2,2,5,2,1,0,-0.43811037768549865,-0.4447745308708864
SafeModeInfo.isManual,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
SafeModeInfo.getTurnOffTip,2,1,5,1,0,0,-0.8357812570921472,-0.14222738295696571
SafeModeInfo.toString,437,49,9,2,0,3,-0.33755262129915564,3.664898711867576
SafeModeInfo.isConsistent,1,2,19,6,0,0,0.7468202715522201,-0.2354292502799106
SafeModeMonitor.run,16,267,11,3,0,1,1.7765794193442925,3.5549056897951985
FsckServlet.doGet,0,26,16,2,2,2,0.29036760446370585,-0.46366296187840556
JspHelper.bestNode,2,16,38,8,1,2,2.111842019573052,-0.41521113375141216
JspHelper.streamBlockInAscii,0,11,53,9,6,2,3.666945549711335,-2.067992864951035
JspHelper.DFSNodesStatus,1,7,4,2,2,0,-0.2633567594574614,-0.6847301632202573
JspHelper.addTableHeader,0,1,5,1,1,0,-0.6633282357290955,-0.4604345062972584
JspHelper.addTableRow,0,1,7,2,2,0,-0.20439905069869677,-0.7818735806638036
JspHelper.addTableRow,0,1,13,3,3,2,0.39190127302703454,-1.113759268083245
JspHelper.addTableFooter,0,1,3,1,1,0,-0.7320138050767618,-0.4552111997708102
JspHelper.getSafeModeText,0,2,5,2,0,0,-0.6085916507255018,-0.1557543599178525
JspHelper.sortNodeList,0,8,64,7,3,2,3.070480011384759,-1.201681727798172
NodeComapare.compare,16,23,24,2,2,2,0.5349410973904287,-0.40881423821369256
LocatedBlock.getBlock,10,0,3,1,0,0,-0.9158375868098266,-0.09229879158217656
LocatedBlock.getLocations,8,0,3,1,0,0,-0.9148517126483025,-0.10689226777580595
LocatedBlock.write,361,66,7,2,1,3,-0.07104434200079857,3.044322814634445
LocatedBlock.readFields,59,31,10,2,1,0,-0.07910321992620477,0.35447125219055226
NameNode.getProtocolVersion,1,2,7,2,2,0,-0.1974647240555427,-0.7609082226408124
NameNode.format,18,6,6,2,1,0,-0.3819455314081947,-0.2759638948803689
NameNode.format,18,6,3,1,1,0,-0.7037503539108991,-0.2555268143972627
NameNode.getDirs,2,1,9,3,1,0,-0.08939003423287721,-0.4814918845433932
NameNode.join,20,2,6,2,0,0,-0.584107607666911,-0.012431251244782546
NameNode.stop,19,5,8,2,0,0,-0.49264731006673407,0.016054563910484394
NameNode.open,33,11,15,3,1,0,0.17565826154565775,-0.13427672385971587
NameNode.create,67,14,18,2,6,2,0.9227678135194258,-1.3584828436190404
NameNode.setReplication,11,24,3,1,2,0,-0.39514190011354594,-0.3641824695504503
NameNode.addBlock,6,6,10,1,2,0,-0.2859684690233942,-0.6649828915482706
NameNode.reportWrittenBlock,1,5,11,2,1,0,-0.209278941389989,-0.42673532876851566
NameNode.abandonBlock,3,10,7,2,2,0,-0.13903248842573765,-0.6369657870377703
NameNode.abandonFileInProgress,4,7,4,1,2,0,-0.4836120391809528,-0.6502378282363791
NameNode.complete,3,3,11,3,2,0,0.16512427268338675,-0.7556948602673366
NameNode.getHints,2,3,3,1,3,2,-0.375210857387399,-1.0205077780181542
NameNode.getBlockSize,9,9,3,1,1,0,-0.6770321290122916,-0.2801915974900653
NameNode.rename,14,16,12,3,2,2,0.29059917787974676,-0.5003503354253034
NameNode.delete,166,24,4,1,1,0,-0.6086715101593687,1.0678139293392679
NameNode.exists,105,7,3,1,1,0,-0.7392086162132874,0.3929580199517931
NameNode.isDir,13,3,3,1,1,0,-0.7235674596788371,-0.33301636465986595
NameNode.checkPathLength,3,2,5,2,1,0,-0.43860331476626074,-0.43747779277407167
NameNode.mkdirs,81,20,8,2,1,0,-0.24033330601371555,0.3698679776589814
NameNode.obtainLock,3,9,10,3,3,2,0.346812217554578,-0.9746851345937162
NameNode.releaseLock,3,8,10,3,2,0,0.16791780662913441,-0.6847401073732295
NameNode.renewLease,2,6,3,1,1,0,-0.6958633606187052,-0.37227462394629796
NameNode.getListing,5,9,7,2,1,0,-0.3189127735127055,-0.3324272836236543
NameNode.getStats,3,2,6,1,0,0,-0.7945041457751599,-0.12387367819719845
NameNode.getDatanodeReport,2,7,7,3,0,0,-0.28497916843857396,-0.09064321131322232
NameNode.setSafeMode,5,8,12,2,1,0,-0.1546261138674558,-0.35915416986595117
NameNode.isInSafeMode,18,2,3,1,0,0,-0.9049265560080912,-0.006587646955305767
NameNode.register,3,11,5,1,1,0,-0.5905344097322202,-0.3018580927450484
NameNode.sendHeartbeat,1,4,28,4,5,2,1.4905426601097782,-1.724460884143022
NameNode.blockReport,1,4,7,1,2,0,-0.40138666508891535,-0.7209688620950252
NameNode.blockReceived,3,9,8,2,2,0,-0.11211696747582067,-0.6532460602271709
NameNode.errorReport,2,4,8,2,3,2,0.02270679818688807,-1.0324995451015317
NameNode.verifyRequest,4,4,5,2,1,0,-0.42424172439919056,-0.40284381482490383
NameNode.verifyVersion,2,0,4,2,1,0,-0.48730768980716416,-0.4695001174600155
NameNode.main,3,187,34,7,1,1,3.025263572105417,1.9524683454679284
NameNodeMetrics.createFile,4,5,3,1,0,0,-0.8757436457056731,-0.06773612053218185
NameNodeMetrics.openFile,1,1,3,1,0,0,-0.9039738893590514,-0.14430081452733226
NameNodeMetrics.renameFile,1,1,3,1,0,0,-0.9039738893590514,-0.14430081452733226
NameNodeMetrics.listFile,1,1,4,1,1,0,-0.6981639574836908,-0.45052611493721956
NamenodeFsck.fsck,1,7,20,4,0,0,0.38074643788322426,-0.14449356252538378
NamenodeFsck.check,2,20,73,21,2,4,6.359109775510069,-0.9193857344208528
NamenodeFsck.lostFoundMove,1,17,61,14,2,4,4.39377222596465,-0.8481336482834707
NamenodeFsck.copyBlock,1,21,86,17,3,4,6.109847450351285,-1.2001705093863309
NamenodeFsck.bestNode,2,16,27,9,3,2,2.295782151045147,-1.0063123628427078
NamenodeFsck.lostFoundInit,1,5,24,5,1,0,0.8935066648134569,-0.49849318327073044
NamenodeFsck.run,16,267,4,1,1,1,1.2700941368665781,3.2947778568779715
FsckResult.isHealthy,2,1,3,1,0,0,-0.9044668264398136,-0.13700407643051762
FsckResult.addMissing,1,1,4,1,2,0,-0.5266968102821634,-0.7541397620838827
FsckResult.getMissingIds,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.getMissingSize,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.setMissingSize,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
FsckResult.getOverReplicatedBlocks,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.setOverReplicatedBlocks,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
FsckResult.getReplicationFactor,1,0,6,2,0,0,-0.5895963305802631,-0.178406514936615
FsckResult.getUnderReplicatedBlocks,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.setUnderReplicatedBlocks,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
FsckResult.getTotalDirs,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.setTotalDirs,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
FsckResult.getTotalFiles,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.setTotalFiles,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
FsckResult.getTotalSize,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.setTotalSize,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
FsckResult.getReplication,14,3,3,1,0,0,-0.8955275439611267,-0.022105979416388016
FsckResult.setReplication,11,24,3,1,1,0,-0.5666090473150733,-0.06056882240378712
FsckResult.getTotalBlocks,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.setTotalBlocks,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
FsckResult.toString,437,49,24,5,0,3,0.8339185542519566,3.587917550838913
FsckResult.getCorruptFiles,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
FsckResult.setCorruptFiles,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
StreamFile.doGet,0,26,26,4,2,2,1.0713483881644472,-0.5149837358975141
DistributedCache.getLocalCache,2,9,32,3,6,2,1.6172478590642518,-1.9502791859214499
DistributedCache.releaseCache,2,2,9,1,2,0,-0.3480485602698435,-0.7462326703770118
DistributedCache.deleteCache,1,8,14,3,1,0,0.13480767228446391,-0.4061665494730921
DistributedCache.makeRelative,3,14,12,2,2,0,0.06239048983909282,-0.5953495736491842
DistributedCache.cacheFilePath,4,1,3,1,1,0,-0.7339855533998103,-0.42602424738355144
DistributedCache.localizeCache,1,20,82,18,6,4,6.698226958017824,-2.126835578393035
DistributedCache.ifExistsAndFresh,1,3,24,4,5,2,1.3457442576905292,-1.7276828910163022
DistributedCache.createMD5,6,16,40,4,2,2,1.4749171138743773,-0.6444526522635285
DistributedCache.getFileSysName,5,4,10,2,1,0,-0.25302073811078685,-0.4086053430442094
DistributedCache.getFileSystem,15,3,7,2,2,0,-0.19693857946229623,-0.6450852693592299
DistributedCache.setCacheArchives,1,2,4,1,2,0,-0.5192695465582473,-0.7404711421577062
DistributedCache.setCacheFiles,1,2,4,1,2,0,-0.5192695465582473,-0.7404711421577062
DistributedCache.getCacheArchives,3,2,3,1,1,0,-0.726065352595132,-0.41965236555418955
DistributedCache.getCacheFiles,3,2,3,1,1,0,-0.726065352595132,-0.41965236555418955
DistributedCache.getLocalCacheArchives,1,2,4,1,1,0,-0.6907366937597746,-0.43685749501104304
DistributedCache.getLocalCacheFiles,1,2,3,1,1,0,-0.7250794784336078,-0.434245841747819
DistributedCache.getArchiveMd5,1,1,3,1,1,0,-0.732506742157524,-0.4479144616739955
DistributedCache.getFileMd5,1,1,3,1,1,0,-0.732506742157524,-0.4479144616739955
DistributedCache.setArchiveMd5,1,1,3,1,2,0,-0.5610395949559966,-0.7515281088206587
DistributedCache.setFileMd5,1,1,3,1,2,0,-0.5610395949559966,-0.7515281088206587
DistributedCache.setLocalArchives,1,1,3,1,2,0,-0.5610395949559966,-0.7515281088206587
DistributedCache.setLocalFiles,1,1,3,1,2,0,-0.5610395949559966,-0.7515281088206587
DistributedCache.addCacheArchive,2,3,5,1,2,0,-0.47799243524126006,-0.722117437397939
DistributedCache.addCacheFile,1,3,5,1,2,0,-0.4774994981604979,-0.7294141754947536
DistributedCache.createSymlink,1,1,3,1,1,0,-0.732506742157524,-0.4479144616739955
DistributedCache.getSymlink,1,2,7,2,1,0,-0.36893187125707017,-0.4572945754941492
DistributedCache.checkURIs,1,2,37,16,2,4,3.8956893748963215,-1.01568751024561
DF.doDF,6,11,20,4,0,0,0.4079908073750783,-0.053335392336603935
DF.getDirPath,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
